Categoría,Nombre,Duración,Precio,Depósito,Detalles
Cortes,Corte Dama,1-1.5 horas,$400–$500 MXP,No,"Exclusivo para dama; si es con Eleonora, agregar Vitamina E (+$200). Asistir sin acompañante y puntual."
Tratamientos,Pro System,1 hora,"$600–$1,000 MXP",No,Para cabellos con elasticidad y quiebre.
Tratamientos,Nashi,1 hora,"$1,000–$2,000 MXP",No,Hidratación y reparación; ideal para cabello reseco.
Tratamientos,Genoma,1.5–2 horas,"$1,800–$2,700 MXP",No,"Tratamiento rehidratante con Espirulina; resistencia, fuerza y brillo."
Tratamientos,Queratina Antifrizz,2–3 horas,"$1,700–$2,250 MXP",$300 MXP,"4 funciones: relajante de rizos, sellado progresivo, de cutícula, máxima hidratación. Depósito reembolsable en producto."
Tratamientos,Cirugía Capilar,4–5 horas,"$3,500–$4,800 MXP (variable)",$300 MXP,Alisado 80–95%; brillo y suavidad. Ideal para cabellos vírgenes. Duración 6–8 meses. Depósito reembolsable en producto.
Tintes,Tinte Regular,2–3 horas,"$1,600–$2,100 MXP (promedio)",No,"Enviar foto para evaluar; precio varía para cabello abundante o extra largo ($2,500–$3,000). Ofrecen tintes sin amoniaco."
Tintes,Tintes Cobrizos,2–3 horas,"$1,700–$2,200 MXP (promedio)",No,"Cabello extra largo/volumen: $2,500–$3,000 MXP. Precios pueden variar."
Tintes,Retoque de Canas,1–1.5 horas,"$700–$1,200 MXP",No,Cubrir canas.
Técnicas de Color,Balayage,6–8 horas,"$3,600–$4,500 MXP",$300 MXP,Luces altas y bajas a mano alzada; efecto natural. Depósito reembolsable en producto.
Técnicas de Color,Balayage sin Decoloración,4–6 horas,"$3,500–$4,200 MXP",$300 MXP,Con tintes aclarantes; solo para cabello vírgenes. Depósito reembolsable en producto.
Técnicas de Color,Highlights,6–8 horas,"$3,800–$4,500 MXP",$300 MXP,Aclarar mechones; contraste y luminosidad. Depósito reembolsable en producto.
Técnicas de Color,Baño de Color,1 hora,"$700–$1,200 MXP",No,Coloración semipermanente para brillo y reflejos; neutraliza tonos no deseados.
Peinados,Peinado Express,0.5–1 hora,$200–$350 MXP,No,"Coleta, trenza, ondas o lisos con brushing. No incluye lavado/secado (+$100 si se requiere)."
Tratamientos,Dermoabrasión,0.5–0.75 horas,$700 MXP,No,Exfoliación profunda del cuero cabelludo; ideal para caída.
